Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas484 Pavardė484 3 3 4 4 5 3
Vardas486 Pavardė486 4 4 9 9 10 2
Vardas487 Pavardė487 3 4 5 6 8 2
Vardas49 Pavardė49 4 4 6 8 10 4
Vardas491 Pavardė491 3 6 8 9 9 2
Vardas492 Pavardė492 3 3 3 6 10 4
Vardas494 Pavardė494 3 4 5 5 6 5
Vardas497 Pavardė497 2 2 8 10 10 4
Vardas50 Pavardė50 3 4 4 4 10 4
Vardas500 Pavardė500 3 4 6 6 8 2
Vardas501 Pavardė501 5 6 7 7 7 4
Vardas504 Pavardė504 2 5 5 8 9 4
Vardas508 Pavardė508 3 6 6 8 8 2
Vardas512 Pavardė512 2 6 7 10 10 3
Vardas519 Pavardė519 3 3 3 8 10 4
Vardas52 Pavardė52 3 6 7 7 9 3
Vardas521 Pavardė521 6 7 7 8 9 3
Vardas522 Pavardė522 5 5 6 7 7 4
Vardas524 Pavardė524 2 2 2 5 10 2
Vardas525 Pavardė525 4 5 6 6 9 2
Vardas526 Pavardė526 4 5 7 10 10 2
Vardas528 Pavardė528 2 4 7 7 10 2
Vardas53 Pavardė53 4 7 7 9 10 3
Vardas530 Pavardė530 3 3 6 7 9 2
Vardas535 Pavardė535 4 5 6 6 9 4
Vardas536 Pavardė536 2 2 5 8 8 3
Vardas538 Pavardė538 4 5 5 9 10 2
Vardas539 Pavardė539 2 3 5 7 8 4
Vardas541 Pavardė541 2 3 5 6 9 4
Vardas557 Pavardė557 2 3 8 8 9 4
Vardas558 Pavardė558 2 6 6 7 9 4
Vardas559 Pavardė559 3 4 5 7 8 2
Vardas560 Pavardė560 2 2 5 7 8 4
Vardas562 Pavardė562 3 3 4 4 8 3
Vardas563 Pavardė563 3 5 6 6 8 2
Vardas565 Pavardė565 3 4 6 6 8 3
Vardas566 Pavardė566 2 2 3 7 10 2
Vardas568 Pavardė568 2 3 4 5 9 4
Vardas569 Pavardė569 3 6 6 9 10 2
Vardas571 Pavardė571 2 2 6 8 9 3
Vardas572 Pavardė572 2 3 4 10 10 4
Vardas574 Pavardė574 4 4 4 8 8 2
Vardas575 Pavardė575 2 5 5 7 9 3
Vardas576 Pavardė576 2 2 2 7 10 2
Vardas577 Pavardė577 2 3 4 6 9 3
Vardas579 Pavardė579 3 3 5 8 9 2
Vardas58 Pavardė58 4 7 8 8 8 4
Vardas582 Pavardė582 4 4 4 8 10 2
Vardas585 Pavardė585 2 4 7 7 8 4
Vardas589 Pavardė589 2 4 5 9 10 3
Vardas593 Pavardė593 2 8 8 8 9 3
Vardas594 Pavardė594 4 4 5 8 10 4
Vardas595 Pavardė595 3 6 6 7 8 3
Vardas597 Pavardė597 2 3 6 8 10 3
Vardas603 Pavardė603 4 4 4 7 10 2
Vardas608 Pavardė608 2 6 7 7 10 2
Vardas610 Pavardė610 2 4 6 6 10 4
Vardas611 Pavardė611 2 4 4 8 8 3
Vardas618 Pavardė618 2 5 7 9 10 2
Vardas620 Pavardė620 3 6 6 6 10 2
Vardas621 Pavardė621 2 7 8 8 9 3
Vardas623 Pavardė623 3 3 7 9 10 2
Vardas628 Pavardė628 3 4 8 9 9 3
Vardas63 Pavardė63 4 5 8 8 10 3
Vardas634 Pavardė634 2 3 5 6 9 3
Vardas635 Pavardė635 3 3 5 7 9 3
Vardas637 Pavardė637 6 6 7 8 9 2
Vardas639 Pavardė639 4 6 7 7 9 4
Vardas641 Pavardė641 3 3 6 8 10 2
Vardas644 Pavardė644 2 3 6 7 10 3
Vardas648 Pavardė648 3 6 7 8 9 2
Vardas649 Pavardė649 2 3 4 5 9 3
Vardas651 Pavardė651 4 5 6 9 10 3
Vardas656 Pavardė656 3 5 9 9 10 2
Vardas660 Pavardė660 5 7 9 9 9 2
Vardas662 Pavardė662 2 3 7 8 10 2
Vardas665 Pavardė665 2 7 8 8 9 3
Vardas670 Pavardė670 4 7 8 8 9 2
Vardas672 Pavardė672 2 2 5 9 10 4
Vardas675 Pavardė675 4 4 5 6 7 3
Vardas678 Pavardė678 2 6 7 8 9 3
Vardas680 Pavardė680 5 7 7 8 9 3
Vardas686 Pavardė686 2 3 5 7 10 3
Vardas688 Pavardė688 3 4 8 9 9 2
Vardas689 Pavardė689 2 3 6 7 10 2
Vardas690 Pavardė690 3 4 5 5 8 3
Vardas691 Pavardė691 5 8 9 10 10 3
Vardas697 Pavardė697 3 4 7 7 9 2
Vardas699 Pavardė699 2 4 7 8 8 3
Vardas70 Pavardė70 2 4 6 8 9 3
Vardas702 Pavardė702 3 5 7 8 8 3
Vardas707 Pavardė707 5 6 7 8 10 4
Vardas71 Pavardė71 2 7 8 8 8 4
Vardas711 Pavardė711 2 3 3 5 7 2
Vardas723 Pavardė723 3 3 5 6 6 4
Vardas724 Pavardė724 2 3 5 8 8 4
Vardas727 Pavardė727 2 3 4 9 9 4
Vardas729 Pavardė729 2 5 8 9 10 3
Vardas730 Pavardė730 2 2 3 3 5 5
Vardas732 Pavardė732 2 2 3 3 3 2
Vardas741 Pavardė741 2 3 4 6 8 4
Vardas742 Pavardė742 3 3 4 4 7 2
Vardas743 Pavardė743 2 5 8 9 10 3
Vardas744 Pavardė744 2 3 4 7 10 2
Vardas749 Pavardė749 4 4 4 7 9 2
Vardas754 Pavardė754 2 3 4 8 9 3
Vardas76 Pavardė76 2 4 5 8 10 3
Vardas761 Pavardė761 2 7 8 8 9 3
Vardas763 Pavardė763 4 5 5 6 10 4
Vardas765 Pavardė765 2 4 8 9 9 3
Vardas768 Pavardė768 2 4 5 7 7 4
Vardas770 Pavardė770 5 6 6 6 8 3
Vardas772 Pavardė772 4 5 6 7 10 3
Vardas773 Pavardė773 2 2 6 8 10 2
Vardas776 Pavardė776 5 5 6 10 10 2
Vardas778 Pavardė778 2 3 3 6 6 2
Vardas780 Pavardė780 4 6 6 7 7 4
Vardas782 Pavardė782 2 3 5 6 7 2
Vardas784 Pavardė784 5 6 7 7 8 3
Vardas785 Pavardė785 3 7 7 10 10 3
Vardas789 Pavardė789 2 3 5 5 10 3
Vardas79 Pavardė79 2 4 5 7 9 3
Vardas792 Pavardė792 3 6 6 7 9 4
Vardas795 Pavardė795 4 4 7 7 10 4
Vardas799 Pavardė799 2 2 5 8 10 2
Vardas80 Pavardė80 2 3 5 6 9 4
Vardas800 Pavardė800 2 3 5 9 10 4
Vardas803 Pavardė803 4 6 8 8 9 4
Vardas808 Pavardė808 3 3 4 8 9 2
Vardas81 Pavardė81 2 2 3 6 8 3
Vardas813 Pavardė813 8 8 9 10 10 2
Vardas819 Pavardė819 3 7 8 9 9 3
Vardas821 Pavardė821 2 4 5 10 10 3
Vardas824 Pavardė824 2 3 6 6 10 3
Vardas83 Pavardė83 3 3 7 7 8 2
Vardas830 Pavardė830 2 3 6 6 6 3
Vardas831 Pavardė831 3 4 5 5 5 5
Vardas836 Pavardė836 2 5 9 9 9 2
Vardas839 Pavardė839 4 5 6 6 9 3
Vardas840 Pavardė840 4 4 4 5 6 4
Vardas845 Pavardė845 3 5 6 7 9 4
Vardas848 Pavardė848 3 5 8 8 10 2
Vardas854 Pavardė854 6 6 6 7 7 4
Vardas856 Pavardė856 4 4 6 7 8 4
Vardas857 Pavardė857 3 8 8 9 9 2
Vardas865 Pavardė865 2 2 4 9 10 3
Vardas867 Pavardė867 4 7 8 9 10 3
Vardas868 Pavardė868 2 2 2 3 4 4
Vardas870 Pavardė870 2 3 4 7 8 5
Vardas873 Pavardė873 2 2 4 5 6 5
Vardas875 Pavardė875 4 5 6 8 9 3
Vardas876 Pavardė876 2 2 7 7 8 2
Vardas880 Pavardė880 2 2 4 5 9 4
Vardas882 Pavardė882 2 4 6 8 9 4
Vardas883 Pavardė883 2 3 4 5 9 2
Vardas885 Pavardė885 3 3 3 5 9 3
Vardas886 Pavardė886 2 2 5 10 10 4
Vardas892 Pavardė892 2 3 4 5 7 4
Vardas900 Pavardė900 5 5 9 10 10 3
Vardas904 Pavardė904 2 3 5 6 7 2
Vardas906 Pavardė906 4 8 8 9 10 2
Vardas907 Pavardė907 3 4 5 6 10 3
Vardas91 Pavardė91 3 3 3 4 4 4
Vardas911 Pavardė911 3 3 4 5 8 5
Vardas915 Pavardė915 2 5 6 10 10 3
Vardas926 Pavardė926 3 3 7 8 9 4
Vardas932 Pavardė932 2 3 3 7 10 3
Vardas933 Pavardė933 4 5 5 7 8 4
Vardas935 Pavardė935 3 6 7 8 9 3
Vardas936 Pavardė936 2 3 7 7 10 2
Vardas938 Pavardė938 4 6 7 7 9 2
Vardas942 Pavardė942 3 3 4 6 8 4
Vardas943 Pavardė943 2 2 4 7 7 3
Vardas944 Pavardė944 2 5 9 10 10 2
Vardas946 Pavardė946 2 4 6 7 9 3
Vardas954 Pavardė954 3 4 5 7 9 3
Vardas955 Pavardė955 4 7 8 8 8 4
Vardas956 Pavardė956 2 4 4 5 6 3
Vardas958 Pavardė958 2 3 3 8 9 3
Vardas96 Pavardė96 2 7 9 9 10 2
Vardas960 Pavardė960 4 5 6 9 9 3
Vardas963 Pavardė963 2 7 9 10 10 2
Vardas965 Pavardė965 2 6 9 9 9 2
Vardas967 Pavardė967 3 5 5 6 6 2
Vardas969 Pavardė969 2 3 4 4 5 5
Vardas972 Pavardė972 6 7 8 9 10 3
Vardas974 Pavardė974 3 6 7 7 9 3
Vardas976 Pavardė976 3 6 7 9 10 4
Vardas979 Pavardė979 2 3 3 5 9 5
Vardas980 Pavardė980 2 3 6 7 9 4
Vardas984 Pavardė984 2 2 5 6 10 3
Vardas986 Pavardė986 2 4 4 7 10 2
Vardas99 Pavardė99 4 5 5 7 9 3
Vardas991 Pavardė991 6 7 7 8 10 3
Vardas993 Pavardė993 3 3 3 4 10 2
Vardas997 Pavardė997 3 4 4 9 10 3
Vardas999 Pavardė999 3 5 6 8 9 2
