Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas170 Pavardė170 2 3 4 6 9 7
Vardas172 Pavardė172 4 8 10 10 10 8
Vardas173 Pavardė173 2 3 4 5 6 7
Vardas176 Pavardė176 2 2 7 7 9 9
Vardas177 Pavardė177 2 3 5 8 9 7
Vardas180 Pavardė180 4 4 5 5 7 10
Vardas181 Pavardė181 2 3 3 6 8 9
Vardas184 Pavardė184 2 3 5 6 8 9
Vardas186 Pavardė186 4 6 6 6 7 5
Vardas187 Pavardė187 3 4 5 5 6 7
Vardas189 Pavardė189 7 7 7 8 8 8
Vardas19 Pavardė19 2 5 5 6 7 9
Vardas190 Pavardė190 4 4 6 7 9 6
Vardas191 Pavardė191 3 3 4 5 6 6
Vardas193 Pavardė193 4 5 6 7 8 5
Vardas194 Pavardė194 2 3 4 5 7 10
Vardas195 Pavardė195 5 7 8 10 10 6
Vardas198 Pavardė198 4 5 8 9 10 6
Vardas199 Pavardė199 3 9 9 9 10 4
Vardas20 Pavardė20 3 5 8 9 9 10
Vardas200 Pavardė200 5 7 9 9 9 4
Vardas22 Pavardė22 2 3 4 8 9 8
Vardas23 Pavardė23 4 5 6 8 10 7
Vardas24 Pavardė24 3 5 7 8 10 6
Vardas26 Pavardė26 2 4 5 6 9 5
Vardas31 Pavardė31 5 5 5 9 10 9
Vardas32 Pavardė32 3 3 8 9 9 9
Vardas33 Pavardė33 2 4 9 9 10 9
Vardas34 Pavardė34 2 6 6 8 10 9
Vardas35 Pavardė35 5 6 6 8 8 9
Vardas36 Pavardė36 7 7 9 9 9 9
Vardas37 Pavardė37 3 6 7 7 9 10
Vardas38 Pavardė38 2 2 3 3 7 9
Vardas44 Pavardė44 2 5 6 8 9 8
Vardas46 Pavardė46 2 5 6 6 8 6
Vardas5 Pavardė5 4 4 5 6 7 7
Vardas50 Pavardė50 2 2 3 10 10 6
Vardas52 Pavardė52 3 3 6 8 9 8
Vardas53 Pavardė53 2 5 7 7 10 9
Vardas55 Pavardė55 4 6 6 7 8 7
Vardas57 Pavardė57 5 6 7 8 10 9
Vardas58 Pavardė58 2 6 6 8 10 7
Vardas6 Pavardė6 3 3 4 7 7 9
Vardas60 Pavardė60 2 3 4 7 10 8
Vardas62 Pavardė62 2 2 2 4 9 9
Vardas63 Pavardė63 4 4 6 8 10 9
Vardas64 Pavardė64 2 4 5 7 10 5
Vardas65 Pavardė65 2 2 6 7 7 6
Vardas67 Pavardė67 5 6 8 9 10 6
Vardas68 Pavardė68 2 3 4 9 10 6
Vardas69 Pavardė69 3 6 7 9 10 10
Vardas7 Pavardė7 3 3 4 7 9 5
Vardas70 Pavardė70 3 7 8 9 10 4
Vardas71 Pavardė71 2 4 7 9 10 10
Vardas72 Pavardė72 3 3 8 9 10 9
Vardas73 Pavardė73 2 5 6 8 10 5
Vardas74 Pavardė74 6 8 8 9 9 5
Vardas75 Pavardė75 4 4 4 5 9 8
Vardas77 Pavardė77 2 3 6 7 10 9
Vardas78 Pavardė78 2 3 3 7 7 10
Vardas80 Pavardė80 3 3 6 6 10 10
Vardas81 Pavardė81 4 6 9 9 10 8
Vardas83 Pavardė83 2 4 5 6 9 6
Vardas84 Pavardė84 7 8 8 8 8 7
Vardas85 Pavardė85 4 4 4 5 6 8
Vardas86 Pavardė86 3 5 7 10 10 10
Vardas87 Pavardė87 3 5 7 9 10 8
Vardas89 Pavardė89 3 4 6 9 10 9
Vardas90 Pavardė90 2 2 3 3 3 9
Vardas92 Pavardė92 3 4 7 8 10 7
Vardas93 Pavardė93 4 5 8 8 9 10
Vardas94 Pavardė94 3 5 7 8 10 9
Vardas96 Pavardė96 2 3 5 7 9 10
Vardas97 Pavardė97 2 3 6 7 9 6
